date,temperature,humidity,luminosity
2020-12-02 16:16:59.764,19.2,16.3,153
2020-12-02 16:16:57.486,19.2,16.3,153
2020-12-02 16:16:55.205,19.2,16.3,152
2020-12-02 16:16:52.927,19.2,16.3,154
2020-12-02 16:16:50.646,19.2,16.4,153
2020-12-02 16:16:48.368,19.2,16.3,152
2020-12-02 16:16:46.091,19.2,16.3,152
2020-12-02 16:16:43.809,19.2,16.3,154
2020-12-02 16:16:41.532,19.2,16.3,154
2020-12-02 16:16:39.254,19.2,16.3,153
2020-12-02 16:16:36.972,19.2,16.3,154
2020-12-02 16:16:34.695,19.2,16.3,153
2020-12-02 16:16:32.417,19.2,16.3,153
2020-12-02 16:16:30.136,19.2,16.3,153
2020-12-02 16:16:27.858,19.2,16.3,153
2020-12-02 16:16:25.581,19.2,16.3,153
2020-12-02 16:16:23.299,19.2,16.4,153
2020-12-02 16:16:21.022,19.2,16.4,154
2020-12-02 16:16:18.744,19.2,16.3,153
2020-12-02 16:16:16.463,19.2,16.3,154
2020-12-02 16:16:14.185,19.2,16.3,153
2020-12-02 16:16:11.903,19.2,16.3,152
2020-12-02 16:16:09.626,19.2,16.3,152
2020-12-02 16:16:07.348,19.2,16.2,153
2020-12-02 16:16:05.067,19.2,16.2,154
2020-12-02 16:16:02.789,19.2,16.2,153
2020-12-02 16:16:00.512,19.2,16.2,153
2020-12-02 16:15:58.230,19.2,16.2,153
2020-12-02 16:15:55.952,19.2,16.2,153
2020-12-02 16:15:53.675,19.2,16.2,153
2020-12-02 16:15:51.393,19.2,16.2,154
2020-12-02 16:15:49.116,19.2,16.2,154
2020-12-02 16:15:46.838,19.2,16.2,153
2020-12-02 16:15:44.557,19.2,16.2,153
2020-12-02 16:15:42.279,19.2,16.2,153
2020-12-02 16:15:40.002,19.2,16.2,153
2020-12-02 16:15:37.720,19.2,16.2,153
2020-12-02 16:15:35.443,19.2,16.2,153
2020-12-02 16:15:33.165,19.2,16.2,153
2020-12-02 16:15:30.884,19.2,16.2,153
2020-12-02 16:15:28.606,19.2,16.2,153
2020-12-02 16:15:26.329,19.2,16.2,153
2020-12-02 16:15:24.047,19.2,16.2,153
2020-12-02 16:15:21.769,19.2,16.2,152
2020-12-02 16:15:19.492,19.2,16.2,152
2020-12-02 16:15:17.210,19.2,16.2,152
2020-12-02 16:15:14.933,19.2,16.2,152
